Gene,Isoforms,Unique Exon Count
PB.14468,"PB.14468.1, PB.14468.2, PB.14468.3",4
PB.14469,"PB.14469.1, PB.14469.2, PB.14469.3",7
PB.1447,"PB.1447.1, PB.1447.2, PB.1447.3, PB.1447.4, PB.1447.5, PB.1447.6",19
PB.14470,PB.14470.1,1
PB.14471,"PB.14471.1, PB.14471.11, PB.14471.12, PB.14471.13, PB.14471.14, PB.14471.15, PB.14471.16, PB.14471.4, PB.14471.5, PB.14471.6, PB.14471.7, PB.14471.8, PB.14471.9",20
PB.14472,"PB.14472.1, PB.14472.3, PB.14472.5, PB.14472.6, PB.14472.7, PB.14472.8, PB.14472.9",12
PB.14473,"PB.14473.1, PB.14473.2",7
PB.14474,"PB.14474.1, PB.14474.2, PB.14474.3, PB.14474.4",8
PB.14475,"PB.14475.1, PB.14475.2",4
PB.14476,PB.14476.1,1
PB.14477,PB.14477.5,2
PB.14478,"PB.14478.1, PB.14478.2, PB.14478.3, PB.14478.6, PB.14478.7",13
PB.14479,"PB.14479.1, PB.14479.2",3
PB.1448,"PB.1448.1, PB.1448.2, PB.1448.4, PB.1448.5, PB.1448.6, PB.1448.7, PB.1448.8",19
PB.14480,PB.14480.1,1
PB.14481,"PB.14481.1, PB.14481.2, PB.14481.5",4
PB.14482,"PB.14482.10, PB.14482.11, PB.14482.12, PB.14482.3, PB.14482.4, PB.14482.5, PB.14482.6, PB.14482.7, PB.14482.8, PB.14482.9",18
PB.14483,"PB.14483.1, PB.14483.2, PB.14483.3, PB.14483.4",19
PB.14484,"PB.14484.1, PB.14484.2, PB.14484.3, PB.14484.4, PB.14484.5, PB.14484.6, PB.14484.7, PB.14484.8",13
PB.14485,"PB.14485.1, PB.14485.2, PB.14485.3",3
PB.14486,"PB.14486.3, PB.14486.4, PB.14486.5, PB.14486.6, PB.14486.7",7
PB.14487,"PB.14487.3, PB.14487.4, PB.14487.5, PB.14487.6, PB.14487.7",7
PB.14488,"PB.14488.1, PB.14488.10, PB.14488.11, PB.14488.12, PB.14488.13, PB.14488.2, PB.14488.3, PB.14488.4, PB.14488.5, PB.14488.7, PB.14488.8, PB.14488.9",15
PB.14489,PB.14489.1,23
PB.1449,"PB.1449.1, PB.1449.2",3
PB.14490,"PB.14490.1, PB.14490.2, PB.14490.3, PB.14490.4, PB.14490.5, PB.14490.6, PB.14490.7, PB.14490.8",11
PB.14491,"PB.14491.1, PB.14491.2, PB.14491.3, PB.14491.4, PB.14491.5, PB.14491.6",11
PB.14492,PB.14492.1,2
PB.14493,"PB.14493.1, PB.14493.2, PB.14493.3, PB.14493.4, PB.14493.5, PB.14493.6",13
PB.14494,"PB.14494.1, PB.14494.2, PB.14494.3, PB.14494.4",7
PB.14495,"PB.14495.1, PB.14495.10, PB.14495.11, PB.14495.2, PB.14495.3, PB.14495.4, PB.14495.5, PB.14495.6, PB.14495.7, PB.14495.8, PB.14495.9",33
PB.14496,"PB.14496.1, PB.14496.10, PB.14496.12, PB.14496.16, PB.14496.17, PB.14496.18, PB.14496.19, PB.14496.2, PB.14496.25, PB.14496.27, PB.14496.3, PB.14496.4, PB.14496.5, PB.14496.7, PB.14496.9",16
PB.14497,"PB.14497.1, PB.14497.11, PB.14497.12, PB.14497.13, PB.14497.14, PB.14497.15, PB.14497.16, PB.14497.17, PB.14497.18, PB.14497.19, PB.14497.20, PB.14497.21, PB.14497.22, PB.14497.3, PB.14497.4, PB.14497.5, PB.14497.6, PB.14497.8",24
PB.14498,"PB.14498.1, PB.14498.2",4
PB.14499,"PB.14499.1, PB.14499.2, PB.14499.3, PB.14499.4, PB.14499.5, PB.14499.6, PB.14499.7",16
PB.145,"PB.145.1, PB.145.2, PB.145.3",6
PB.1450,"PB.1450.1, PB.1450.2, PB.1450.3, PB.1450.4",9
PB.14500,"PB.14500.1, PB.14500.17, PB.14500.18, PB.14500.19, PB.14500.2, PB.14500.20, PB.14500.22, PB.14500.23, PB.14500.26, PB.14500.27, PB.14500.28, PB.14500.29, PB.14500.3, PB.14500.30, PB.14500.31, PB.14500.32",27
PB.14501,"PB.14501.1, PB.14501.10, PB.14501.11, PB.14501.2, PB.14501.4, PB.14501.5, PB.14501.7, PB.14501.8, PB.14501.9",11
PB.14502,"PB.14502.1, PB.14502.2, PB.14502.3, PB.14502.4, PB.14502.5, PB.14502.6, PB.14502.7, PB.14502.8, PB.14502.9",33
PB.14503,"PB.14503.1, PB.14503.10, PB.14503.11, PB.14503.12, PB.14503.13, PB.14503.15, PB.14503.16, PB.14503.3, PB.14503.4, PB.14503.5, PB.14503.6, PB.14503.7, PB.14503.8, PB.14503.9",20
PB.14504,"PB.14504.1, PB.14504.6, PB.14504.7",4
PB.14505,"PB.14505.1, PB.14505.2, PB.14505.3",4
PB.14506,"PB.14506.1, PB.14506.11, PB.14506.12, PB.14506.2, PB.14506.4, PB.14506.5, PB.14506.6, PB.14506.7, PB.14506.8, PB.14506.9",16
PB.14507,"PB.14507.1, PB.14507.2, PB.14507.3, PB.14507.4, PB.14507.5, PB.14507.6, PB.14507.7",13
PB.14508,"PB.14508.1, PB.14508.2, PB.14508.3",6
PB.14509,"PB.14509.1, PB.14509.2, PB.14509.3",6
PB.1451,"PB.1451.1, PB.1451.10, PB.1451.11, PB.1451.14, PB.1451.15, PB.1451.16, PB.1451.18, PB.1451.19, PB.1451.2, PB.1451.20, PB.1451.23, PB.1451.24, PB.1451.25, PB.1451.26, PB.1451.27, PB.1451.28, PB.1451.29, PB.1451.3, PB.1451.30, PB.1451.31, PB.1451.32, PB.1451.33, PB.1451.34, PB.1451.39, PB.1451.4, PB.1451.5, PB.1451.6, PB.1451.7, PB.1451.8, PB.1451.9",52
PB.14510,"PB.14510.1, PB.14510.2, PB.14510.3, PB.14510.4, PB.14510.5, PB.14510.6",18
PB.14511,"PB.14511.1, PB.14511.2, PB.14511.3, PB.14511.4, PB.14511.5, PB.14511.6, PB.14511.7, PB.14511.8, PB.14511.9",20
PB.14512,"PB.14512.1, PB.14512.2, PB.14512.3",5
PB.14513,"PB.14513.1, PB.14513.2, PB.14513.3",11
PB.14514,"PB.14514.1, PB.14514.10, PB.14514.11, PB.14514.12, PB.14514.14, PB.14514.15, PB.14514.16, PB.14514.17, PB.14514.18, PB.14514.2, PB.14514.3, PB.14514.4, PB.14514.5, PB.14514.6, PB.14514.7, PB.14514.8, PB.14514.9",27
PB.14515,PB.14515.1,2
PB.14516,"PB.14516.16, PB.14516.25, PB.14516.26, PB.14516.4, PB.14516.5",6
PB.14517,"PB.14517.1, PB.14517.3, PB.14517.5, PB.14517.6, PB.14517.7",10
PB.14518,"PB.14518.1, PB.14518.2, PB.14518.3",5
PB.14519,"PB.14519.1, PB.14519.2, PB.14519.3, PB.14519.4, PB.14519.5, PB.14519.6, PB.14519.7, PB.14519.8",15
PB.1452,"PB.1452.1, PB.1452.2, PB.1452.3, PB.1452.4, PB.1452.5, PB.1452.6, PB.1452.7, PB.1452.8, PB.1452.9",27
PB.14520,"PB.14520.1, PB.14520.11, PB.14520.12, PB.14520.13, PB.14520.14, PB.14520.2, PB.14520.3, PB.14520.4, PB.14520.5, PB.14520.6, PB.14520.9",14
PB.14521,"PB.14521.1, PB.14521.2, PB.14521.3, PB.14521.4",8
PB.14522,"PB.14522.1, PB.14522.2, PB.14522.3, PB.14522.4, PB.14522.5, PB.14522.6",12
PB.14523,"PB.14523.1, PB.14523.10, PB.14523.11, PB.14523.12, PB.14523.13, PB.14523.15, PB.14523.16, PB.14523.17, PB.14523.18, PB.14523.2, PB.14523.21, PB.14523.24, PB.14523.25, PB.14523.26, PB.14523.27, PB.14523.3, PB.14523.32, PB.14523.5, PB.14523.6, PB.14523.64, PB.14523.65, PB.14523.68, PB.14523.69, PB.14523.7, PB.14523.71, PB.14523.75, PB.14523.76, PB.14523.78, PB.14523.8, PB.14523.84, PB.14523.87, PB.14523.88, PB.14523.89, PB.14523.9, PB.14523.90, PB.14523.91, PB.14523.94, PB.14523.95, PB.14523.97, PB.14523.98",58
PB.14524,"PB.14524.1, PB.14524.2, PB.14524.3, PB.14524.4",8
PB.14525,"PB.14525.1, PB.14525.2",4
PB.14526,"PB.14526.1, PB.14526.2, PB.14526.3, PB.14526.4, PB.14526.5",11
PB.14527,"PB.14527.1, PB.14527.10, PB.14527.11, PB.14527.2, PB.14527.3, PB.14527.4, PB.14527.5, PB.14527.6, PB.14527.7, PB.14527.8, PB.14527.9",16
PB.14528,PB.14528.1,3
PB.14529,"PB.14529.1, PB.14529.2",4
PB.1453,"PB.1453.1, PB.1453.2, PB.1453.3, PB.1453.4",6
PB.14530,PB.14530.1,4
PB.14531,"PB.14531.1, PB.14531.2, PB.14531.3, PB.14531.4",10
PB.14532,"PB.14532.1, PB.14532.10, PB.14532.2, PB.14532.3, PB.14532.4, PB.14532.5, PB.14532.6, PB.14532.7, PB.14532.8, PB.14532.9",18
PB.14533,PB.14533.1,6
PB.14534,"PB.14534.1, PB.14534.2, PB.14534.5, PB.14534.6, PB.14534.7, PB.14534.8",8
PB.14535,"PB.14535.1, PB.14535.2, PB.14535.3, PB.14535.4",9
PB.14536,"PB.14536.1, PB.14536.10, PB.14536.11, PB.14536.12, PB.14536.13, PB.14536.14, PB.14536.15, PB.14536.16, PB.14536.3, PB.14536.4, PB.14536.5, PB.14536.6, PB.14536.7, PB.14536.8, PB.14536.9",30
PB.14537,"PB.14537.1, PB.14537.2, PB.14537.3, PB.14537.6, PB.14537.7",6
PB.14538,"PB.14538.1, PB.14538.2, PB.14538.3, PB.14538.4, PB.14538.5",8
PB.14539,"PB.14539.1, PB.14539.2, PB.14539.5, PB.14539.6, PB.14539.7, PB.14539.8, PB.14539.9",10
PB.1454,"PB.1454.1, PB.1454.2, PB.1454.3, PB.1454.4, PB.1454.5, PB.1454.6, PB.1454.7, PB.1454.8, PB.1454.9",13
PB.14540,"PB.14540.5, PB.14540.6",2
PB.14541,"PB.14541.1, PB.14541.11, PB.14541.12, PB.14541.13, PB.14541.14, PB.14541.15, PB.14541.16, PB.14541.17, PB.14541.18, PB.14541.2, PB.14541.3, PB.14541.4, PB.14541.5, PB.14541.6, PB.14541.9",22
PB.14542,"PB.14542.1, PB.14542.2, PB.14542.3",6
PB.14543,"PB.14543.1, PB.14543.10, PB.14543.11, PB.14543.12, PB.14543.13, PB.14543.14, PB.14543.15, PB.14543.16, PB.14543.17, PB.14543.18, PB.14543.19, PB.14543.2, PB.14543.20, PB.14543.21, PB.14543.3, PB.14543.4, PB.14543.5, PB.14543.8, PB.14543.9",23
PB.14544,PB.14544.1,1
PB.14545,"PB.14545.1, PB.14545.2, PB.14545.3, PB.14545.4",8
PB.14546,"PB.14546.1, PB.14546.2, PB.14546.3, PB.14546.4, PB.14546.5, PB.14546.6, PB.14546.7",12
PB.14547,"PB.14547.1, PB.14547.10, PB.14547.11, PB.14547.12, PB.14547.15, PB.14547.17, PB.14547.2, PB.14547.21, PB.14547.22, PB.14547.23, PB.14547.24, PB.14547.28, PB.14547.29, PB.14547.3, PB.14547.31, PB.14547.34, PB.14547.35, PB.14547.36, PB.14547.7, PB.14547.8, PB.14547.9",30
PB.14548,"PB.14548.1, PB.14548.10, PB.14548.3, PB.14548.4, PB.14548.5, PB.14548.7, PB.14548.8, PB.14548.9",10
PB.14549,"PB.14549.10, PB.14549.11, PB.14549.12, PB.14549.13, PB.14549.14, PB.14549.15, PB.14549.16, PB.14549.2, PB.14549.3, PB.14549.6, PB.14549.7, PB.14549.8, PB.14549.9",16
PB.1455,"PB.1455.1, PB.1455.10, PB.1455.11, PB.1455.2, PB.1455.3, PB.1455.4, PB.1455.5, PB.1455.6, PB.1455.7, PB.1455.8, PB.1455.9",23
PB.14550,"PB.14550.1, PB.14550.11, PB.14550.12, PB.14550.13, PB.14550.14, PB.14550.2, PB.14550.3, PB.14550.4, PB.14550.8, PB.14550.9",14
PB.14551,"PB.14551.1, PB.14551.10, PB.14551.11, PB.14551.12, PB.14551.2, PB.14551.4, PB.14551.5, PB.14551.6, PB.14551.7, PB.14551.8, PB.14551.9",18
PB.14552,"PB.14552.1, PB.14552.2, PB.14552.3",6
PB.14553,"PB.14553.1, PB.14553.2",4
PB.14554,PB.14554.1,4
PB.14555,"PB.14555.1, PB.14555.2, PB.14555.3, PB.14555.4, PB.14555.5, PB.14555.6",10
PB.14556,"PB.14556.1, PB.14556.2, PB.14556.3, PB.14556.4",8
PB.14557,"PB.14557.1, PB.14557.2, PB.14557.3, PB.14557.4, PB.14557.5",26
PB.14558,"PB.14558.1, PB.14558.2, PB.14558.3, PB.14558.5, PB.14558.6",13
PB.14559,PB.14559.1,1
PB.1456,"PB.1456.1, PB.1456.10, PB.1456.11, PB.1456.12, PB.1456.13, PB.1456.14, PB.1456.15, PB.1456.16, PB.1456.17, PB.1456.19, PB.1456.2, PB.1456.20, PB.1456.3, PB.1456.4, PB.1456.5, PB.1456.6, PB.1456.7, PB.1456.8",28
PB.14560,"PB.14560.1, PB.14560.10, PB.14560.11, PB.14560.12, PB.14560.2, PB.14560.3, PB.14560.4, PB.14560.5, PB.14560.6, PB.14560.7, PB.14560.8, PB.14560.9",24
PB.14561,"PB.14561.1, PB.14561.2, PB.14561.3, PB.14561.4, PB.14561.5",8
PB.14562,"PB.14562.1, PB.14562.2, PB.14562.3, PB.14562.4",7
PB.14563,"PB.14563.1, PB.14563.2, PB.14563.3, PB.14563.4, PB.14563.5",35
PB.14564,"PB.14564.1, PB.14564.15, PB.14564.2, PB.14564.3, PB.14564.4, PB.14564.5, PB.14564.6, PB.14564.7, PB.14564.8, PB.14564.9",28
PB.14565,"PB.14565.1, PB.14565.2, PB.14565.3, PB.14565.4, PB.14565.5, PB.14565.6, PB.14565.7, PB.14565.8",13
PB.14566,"PB.14566.1, PB.14566.2",4
PB.14567,"PB.14567.1, PB.14567.10, PB.14567.11, PB.14567.12, PB.14567.13, PB.14567.14, PB.14567.15, PB.14567.16, PB.14567.2, PB.14567.3",16
PB.14568,"PB.14568.1, PB.14568.10, PB.14568.11, PB.14568.12, PB.14568.13, PB.14568.2, PB.14568.3, PB.14568.4, PB.14568.5, PB.14568.7, PB.14568.8",15
PB.14569,"PB.14569.1, PB.14569.2, PB.14569.3, PB.14569.4",6
PB.1457,PB.1457.1,2
PB.14570,"PB.14570.1, PB.14570.2, PB.14570.3, PB.14570.4",22
PB.14571,"PB.14571.1, PB.14571.2, PB.14571.3, PB.14571.4, PB.14571.5, PB.14571.6, PB.14571.7, PB.14571.8",21
PB.14572,"PB.14572.1, PB.14572.2",2
PB.14573,"PB.14573.1, PB.14573.10, PB.14573.3, PB.14573.4, PB.14573.5, PB.14573.6, PB.14573.7",7
PB.14574,PB.14574.1,1
PB.14575,"PB.14575.10, PB.14575.11, PB.14575.12, PB.14575.13, PB.14575.14, PB.14575.15, PB.14575.2, PB.14575.3, PB.14575.4, PB.14575.5, PB.14575.8, PB.14575.9",15
PB.14576,"PB.14576.1, PB.14576.10, PB.14576.11, PB.14576.12, PB.14576.13, PB.14576.14, PB.14576.15, PB.14576.16, PB.14576.17, PB.14576.18, PB.14576.19, PB.14576.20, PB.14576.21, PB.14576.5, PB.14576.8, PB.14576.9",28
PB.14577,"PB.14577.1, PB.14577.10, PB.14577.2, PB.14577.7, PB.14577.8, PB.14577.9",8
PB.14578,"PB.14578.2, PB.14578.3",6
PB.14579,"PB.14579.1, PB.14579.10, PB.14579.12, PB.14579.15, PB.14579.16, PB.14579.17, PB.14579.2, PB.14579.3, PB.14579.4, PB.14579.5, PB.14579.6, PB.14579.7, PB.14579.9",25
PB.1458,"PB.1458.1, PB.1458.10, PB.1458.11, PB.1458.12, PB.1458.14, PB.1458.15, PB.1458.16, PB.1458.19, PB.1458.2, PB.1458.3, PB.1458.4, PB.1458.6, PB.1458.7, PB.1458.8, PB.1458.9",33
PB.14580,"PB.14580.1, PB.14580.2, PB.14580.3, PB.14580.4",7
PB.14581,"PB.14581.1, PB.14581.2, PB.14581.3, PB.14581.4, PB.14581.5, PB.14581.6",10
PB.14582,"PB.14582.1, PB.14582.4, PB.14582.5, PB.14582.6, PB.14582.7",10
PB.14583,"PB.14583.1, PB.14583.2, PB.14583.3",6
PB.14584,"PB.14584.10, PB.14584.11, PB.14584.2, PB.14584.6, PB.14584.7, PB.14584.9",9
PB.14585,"PB.14585.1, PB.14585.2, PB.14585.3, PB.14585.4, PB.14585.5, PB.14585.6",17
PB.14586,"PB.14586.1, PB.14586.2, PB.14586.3, PB.14586.7, PB.14586.8, PB.14586.9",11
PB.14587,"PB.14587.1, PB.14587.2, PB.14587.3, PB.14587.4",8
PB.14588,PB.14588.1,2
PB.14589,"PB.14589.10, PB.14589.11, PB.14589.12, PB.14589.9",7
PB.1459,"PB.1459.1, PB.1459.10, PB.1459.11, PB.1459.13, PB.1459.14, PB.1459.15, PB.1459.16, PB.1459.17, PB.1459.18, PB.1459.2, PB.1459.3, PB.1459.4, PB.1459.5, PB.1459.6, PB.1459.7, PB.1459.8, PB.1459.9",34
PB.14590,"PB.14590.1, PB.14590.2",2
PB.14591,"PB.14591.1, PB.14591.2, PB.14591.3, PB.14591.4, PB.14591.5",15
PB.14592,"PB.14592.1, PB.14592.17, PB.14592.18, PB.14592.19, PB.14592.2",7
PB.14593,"PB.14593.1, PB.14593.2, PB.14593.3, PB.14593.4, PB.14593.5, PB.14593.6",13
PB.14594,PB.14594.1,4
PB.14595,"PB.14595.3, PB.14595.4, PB.14595.5",4
PB.14596,"PB.14596.1, PB.14596.10, PB.14596.11, PB.14596.12, PB.14596.13, PB.14596.14, PB.14596.15, PB.14596.16, PB.14596.2, PB.14596.3, PB.14596.4, PB.14596.5, PB.14596.6, PB.14596.7, PB.14596.8, PB.14596.9",28
PB.14597,"PB.14597.1, PB.14597.3, PB.14597.4, PB.14597.5, PB.14597.6, PB.14597.8",8
PB.14598,"PB.14598.1, PB.14598.10, PB.14598.11, PB.14598.12, PB.14598.2, PB.14598.3, PB.14598.4, PB.14598.5, PB.14598.6, PB.14598.7, PB.14598.8, PB.14598.9",15
PB.14599,"PB.14599.1, PB.14599.2, PB.14599.3, PB.14599.4",8
PB.146,"PB.146.1, PB.146.10, PB.146.11, PB.146.14, PB.146.2, PB.146.3, PB.146.5, PB.146.7, PB.146.8, PB.146.9",17
PB.1460,"PB.1460.1, PB.1460.10, PB.1460.101, PB.1460.102, PB.1460.103, PB.1460.104, PB.1460.105, PB.1460.107, PB.1460.108, PB.1460.11, PB.1460.110, PB.1460.114, PB.1460.117, PB.1460.118, PB.1460.119, PB.1460.12, PB.1460.120, PB.1460.121, PB.1460.122, PB.1460.123, PB.1460.13, PB.1460.14, PB.1460.15, PB.1460.16, PB.1460.17, PB.1460.19, PB.1460.2, PB.1460.20, PB.1460.21, PB.1460.24, PB.1460.26, PB.1460.27, PB.1460.28, PB.1460.29, PB.1460.3, PB.1460.30, PB.1460.31, PB.1460.32, PB.1460.33, PB.1460.38, PB.1460.39, PB.1460.4, PB.1460.40, PB.1460.41, PB.1460.42, PB.1460.43, PB.1460.44, PB.1460.45, PB.1460.46, PB.1460.47, PB.1460.48, PB.1460.49, PB.1460.5, PB.1460.50, PB.1460.51, PB.1460.52, PB.1460.53, PB.1460.54, PB.1460.55, PB.1460.56, PB.1460.57, PB.1460.58, PB.1460.59, PB.1460.6, PB.1460.60, PB.1460.61, PB.1460.62, PB.1460.63, PB.1460.64, PB.1460.65, PB.1460.66, PB.1460.67, PB.1460.68, PB.1460.69, PB.1460.72, PB.1460.73, PB.1460.75, PB.1460.76, PB.1460.77, PB.1460.78, PB.1460.8, PB.1460.80, PB.1460.82, PB.1460.84, PB.1460.86, PB.1460.88, PB.1460.91, PB.1460.93, PB.1460.97, PB.1460.98, PB.1460.99",135
PB.14600,"PB.14600.1, PB.14600.2, PB.14600.3",6
PB.14601,"PB.14601.1, PB.14601.2",3
PB.14602,PB.14602.1,1
PB.14603,"PB.14603.1, PB.14603.2",6
PB.14604,"PB.14604.1, PB.14604.10, PB.14604.11, PB.14604.12, PB.14604.13, PB.14604.14, PB.14604.15, PB.14604.16, PB.14604.3, PB.14604.5, PB.14604.8, PB.14604.9",18
PB.14605,"PB.14605.1, PB.14605.2, PB.14605.3",11
PB.14606,PB.14606.1,1
PB.14607,"PB.14607.1, PB.14607.10, PB.14607.11, PB.14607.12, PB.14607.13, PB.14607.16, PB.14607.17, PB.14607.19, PB.14607.2, PB.14607.21, PB.14607.22, PB.14607.23, PB.14607.28, PB.14607.3, PB.14607.31, PB.14607.32, PB.14607.33, PB.14607.34, PB.14607.35, PB.14607.38, PB.14607.4, PB.14607.43, PB.14607.44, PB.14607.45, PB.14607.46, PB.14607.47, PB.14607.48, PB.14607.5, PB.14607.51, PB.14607.52, PB.14607.6, PB.14607.7, PB.14607.9",55
PB.14608,"PB.14608.1, PB.14608.10, PB.14608.11, PB.14608.2, PB.14608.3, PB.14608.4, PB.14608.5, PB.14608.6, PB.14608.7, PB.14608.8, PB.14608.9",18
PB.14609,"PB.14609.1, PB.14609.10, PB.14609.11, PB.14609.12, PB.14609.13, PB.14609.14, PB.14609.15, PB.14609.16, PB.14609.2, PB.14609.3, PB.14609.4, PB.14609.5, PB.14609.6, PB.14609.7, PB.14609.8, PB.14609.9",28
PB.1461,"PB.1461.1, PB.1461.10, PB.1461.11, PB.1461.12, PB.1461.13, PB.1461.14, PB.1461.15, PB.1461.16, PB.1461.17, PB.1461.18, PB.1461.19, PB.1461.2, PB.1461.20, PB.1461.21, PB.1461.22, PB.1461.23, PB.1461.24, PB.1461.25, PB.1461.3, PB.1461.4, PB.1461.5, PB.1461.6, PB.1461.7, PB.1461.8, PB.1461.9",52
PB.14610,"PB.14610.1, PB.14610.2, PB.14610.3, PB.14610.4, PB.14610.5",6
PB.14611,"PB.14611.1, PB.14611.12, PB.14611.13, PB.14611.14, PB.14611.15, PB.14611.16, PB.14611.17, PB.14611.7, PB.14611.8, PB.14611.9",13
PB.14612,PB.14612.1,4
PB.14613,"PB.14613.1, PB.14613.10, PB.14613.2, PB.14613.3, PB.14613.4, PB.14613.5, PB.14613.6, PB.14613.7, PB.14613.8, PB.14613.9",15
PB.14614,"PB.14614.1, PB.14614.2, PB.14614.3",19
PB.14615,"PB.14615.1, PB.14615.10, PB.14615.11, PB.14615.12, PB.14615.13, PB.14615.14, PB.14615.3, PB.14615.7, PB.14615.9",11
PB.14616,"PB.14616.1, PB.14616.2, PB.14616.3, PB.14616.4, PB.14616.5, PB.14616.6",8
PB.14617,"PB.14617.1, PB.14617.10, PB.14617.11, PB.14617.12, PB.14617.14, PB.14617.16, PB.14617.17, PB.14617.18, PB.14617.19, PB.14617.2, PB.14617.20, PB.14617.21, PB.14617.22, PB.14617.23, PB.14617.24, PB.14617.25, PB.14617.26, PB.14617.3, PB.14617.34, PB.14617.35, PB.14617.36, PB.14617.5, PB.14617.7",27
PB.14618,PB.14618.1,1
PB.14619,"PB.14619.1, PB.14619.2, PB.14619.3, PB.14619.4, PB.14619.5, PB.14619.6",8
PB.1462,"PB.1462.1, PB.1462.2, PB.1462.3, PB.1462.4",8
PB.14620,"PB.14620.1, PB.14620.2, PB.14620.3, PB.14620.4, PB.14620.6, PB.14620.7",7
PB.14621,"PB.14621.1, PB.14621.2, PB.14621.3",3
PB.14622,PB.14622.1,11
PB.14623,"PB.14623.1, PB.14623.10, PB.14623.3, PB.14623.4, PB.14623.5, PB.14623.6, PB.14623.7, PB.14623.8, PB.14623.9",17
PB.14624,"PB.14624.1, PB.14624.10, PB.14624.11, PB.14624.12, PB.14624.2, PB.14624.3, PB.14624.5, PB.14624.6, PB.14624.7, PB.14624.8, PB.14624.9",15
PB.14625,"PB.14625.1, PB.14625.10, PB.14625.11, PB.14625.12, PB.14625.13, PB.14625.14, PB.14625.2, PB.14625.3, PB.14625.4, PB.14625.5, PB.14625.6, PB.14625.7, PB.14625.8, PB.14625.9",22
PB.14626,"PB.14626.1, PB.14626.2, PB.14626.3",4
PB.14627,"PB.14627.10, PB.14627.11, PB.14627.12, PB.14627.13, PB.14627.14, PB.14627.17, PB.14627.18, PB.14627.19, PB.14627.20, PB.14627.21, PB.14627.24, PB.14627.25, PB.14627.26, PB.14627.27, PB.14627.28, PB.14627.29, PB.14627.30, PB.14627.31, PB.14627.4, PB.14627.5, PB.14627.6, PB.14627.8, PB.14627.9",30
PB.14628,"PB.14628.1, PB.14628.2, PB.14628.3",6
PB.14629,"PB.14629.1, PB.14629.2, PB.14629.3, PB.14629.4, PB.14629.5",10
PB.1463,"PB.1463.1, PB.1463.2",4
PB.14630,PB.14630.1,1
PB.14631,"PB.14631.1, PB.14631.2, PB.14631.5",5
PB.14632,PB.14632.1,1
PB.14633,"PB.14633.1, PB.14633.2, PB.14633.3, PB.14633.4, PB.14633.6, PB.14633.7, PB.14633.8, PB.14633.9",15
PB.14634,"PB.14634.1, PB.14634.10, PB.14634.2, PB.14634.3, PB.14634.4, PB.14634.5, PB.14634.6, PB.14634.7, PB.14634.8, PB.14634.9",16
PB.14635,PB.14635.1,8
PB.14636,PB.14636.1,1
PB.14637,"PB.14637.1, PB.14637.2, PB.14637.3, PB.14637.5, PB.14637.6",10
PB.14638,"PB.14638.1, PB.14638.2, PB.14638.3, PB.14638.4, PB.14638.5",6
PB.14639,"PB.14639.1, PB.14639.2",4
PB.1464,"PB.1464.1, PB.1464.10, PB.1464.11, PB.1464.12, PB.1464.13, PB.1464.14, PB.1464.15, PB.1464.16, PB.1464.17, PB.1464.18, PB.1464.19, PB.1464.2, PB.1464.20, PB.1464.21, PB.1464.22, PB.1464.23, PB.1464.24, PB.1464.25, PB.1464.27, PB.1464.28, PB.1464.29, PB.1464.3, PB.1464.30, PB.1464.31, PB.1464.32, PB.1464.33, PB.1464.34, PB.1464.35, PB.1464.36, PB.1464.37, PB.1464.38, PB.1464.39, PB.1464.4, PB.1464.40, PB.1464.5, PB.1464.6, PB.1464.7, PB.1464.8",69
PB.14640,"PB.14640.1, PB.14640.2, PB.14640.3, PB.14640.4",8
PB.14641,"PB.14641.1, PB.14641.2",13
PB.14642,"PB.14642.1, PB.14642.10, PB.14642.11, PB.14642.12, PB.14642.13, PB.14642.14, PB.14642.15, PB.14642.16, PB.14642.17, PB.14642.19, PB.14642.2, PB.14642.20, PB.14642.21, PB.14642.22, PB.14642.23, PB.14642.24, PB.14642.25, PB.14642.26, PB.14642.27, PB.14642.28, PB.14642.29, PB.14642.3, PB.14642.30, PB.14642.31, PB.14642.32, PB.14642.33, PB.14642.4, PB.14642.5, PB.14642.8, PB.14642.9",50
PB.14643,"PB.14643.1, PB.14643.10, PB.14643.11, PB.14643.12, PB.14643.13, PB.14643.14, PB.14643.15, PB.14643.16, PB.14643.17, PB.14643.8, PB.14643.9",16
PB.14644,"PB.14644.1, PB.14644.3, PB.14644.5, PB.14644.6",6
PB.14645,"PB.14645.10, PB.14645.2, PB.14645.3, PB.14645.4, PB.14645.5, PB.14645.6, PB.14645.7, PB.14645.8, PB.14645.9",12
PB.14646,"PB.14646.1, PB.14646.2",4
PB.14647,PB.14647.1,5
PB.14648,PB.14648.1,5
PB.14649,"PB.14649.1, PB.14649.2, PB.14649.3, PB.14649.4, PB.14649.6, PB.14649.7, PB.14649.8",8
PB.1465,PB.1465.1,1
PB.14650,"PB.14650.1, PB.14650.2",4
PB.14651,"PB.14651.1, PB.14651.2",6
PB.14652,"PB.14652.1, PB.14652.2, PB.14652.3, PB.14652.4, PB.14652.5, PB.14652.6",8
PB.14653,"PB.14653.1, PB.14653.10, PB.14653.11, PB.14653.2, PB.14653.3, PB.14653.4, PB.14653.5, PB.14653.6, PB.14653.7, PB.14653.8, PB.14653.9",21
